ARTICOLO;DESCRIZIONE;Q.TA
08744;CHARM IL FIORE NEL CUORE;1,00
08741;CHARM LA FARFALLA NEL CUORE;1,00
06477;CHARM CUORE;1,00
06926;CUORE MARTELLATO PICCOLO;1,00
06925;CUORE MARTELLATO MEDIO;1,00
10314;BRACCIALE MAUI cm 18;1,00
10683;BRACCIALE MINI MAUI cm 19;1,00
10319/14;ANELLO MAUI mis.14;1,00
10317;ORECCHINI BOTTONE MAUI;1,00
A08155/P;BASE PAD IN PELLE;10,00
A08155/L;BASE  IN  LEGNO ESPOSITORE;10,00
06440;CHARM FARFALLA;1,00
06439;CHARM FARFALLA;1,00
06437;CHARM FARFALLA GRANDE;1,00
08238;CHARM FARFALLA;1,00
09463;CUORE INTRECCI;1,00
08630;CHARM I LOVE MAMMA;1,00
10204;CHARM CUORE GABBIA;1,00
08059;AMORINO SULLA LUNA;1,00
08058;CHARM AMORINO SU CUORE;1,00
06098;CHARM CUORE ANGELO;1,00
10203;CHARM CUORE MARGHERITE;1,00
09467;CUORE MIMOSA;1,00
09466;CUORE CORDA;1,00
09465;CHARM CUORE MARGHERITE;1,00
09464;CUORE FIOCCO;1,00
10202;CHARM FIOCCO;1,00
09843;CHARM FIOCCO;1,00
09520;CHARM  FIOCCO;1,00
10210;CHARM INFINITO;1,00
09847;CHARM ALBERO DELLA VITA;1,00
10209;CHARM MANO DI FATIMA;1,00
09650;CHARM GATTO;1,00
09853;CHARM CAVALLO;1,00
07649;CHARM GUFO PICCOLO;1,00
06565;CHARM TARTARUGA;1,00
09523;CHARM LIBELLULA;1,00
06443;CHARM LIBELLULA;1,00
06442;CHARM LIBELLULA GRANDE;1,00
06566;CHARM COCCINELLA;1,00
06438;CHARM FARFALLA;1,00
06441;CHARM FARFALLA;1,00
A08163;DISCO IN GOMMA PIUMA PER COLLANA;4,00
A08241;AGO PER BEADS;1,00
A08049;PLATEAU  PER CHARMS;2,00
A08256;PAD PER COUVETTE BRACCIALI;4,00
A08091;ESPOSITORE         CHARMS;1,00
C09391;BROCHURE CHARMS 2020 10 PZ;5,00
11200;BRACCIALE SUNRISE  GRANDE cm.20;1,00
08901;CHARM COPPA;1,00
06437;CHARM FARFALLA GRANDE;1,00
06458;CHARM CONCHIGLIA;1,00
06566;CHARM COCCINELLA;1,00
06900;CHARM IMPERATORE PICCOLA;2,00
10597;CHARM ALBERO DELLA VITA PICCOLO;1,00
10645;"CHARM  ""GOOD LUCK""  PERLAGE";2,00
06030;CHARM SCARPETTA;2,00
07943;CORONA PICCOLA;1,00
09846;CHARM CORONA;1,00
06548;CHARM CROISSANT;1,00
10208;CHARM CUPCAKE;1,00
06542;CHARM BUCANEVE;1,00
08876;CHARM PANETTONE;1,00
08639;CHARM TORTA;1,00
06537;CHARM FETTA TORTA;1,00
10205;CHARM TORTA CUORE;1,00
A08196;TAVOLO CHARMS 1 MODULI STRETTO MAXI;1,00
A08002;ROTOLO NASTRO PICCOLO;2,00
